Localizações descartadas,,,
,inscricao,contribuinte,end
84,582158-4,ASSEMBLEIA DE DEUS RIOS DE AGUA VIVA,R  VIA COLETORA A PQ SAO MATEUS 785  MONDUBIM FORTALEZA - CE CEP:60768010
85,582158-4,ASSEMBLEIA DE DEUS RIOS DE AGUA VIVA,R  VIA COLETORA A PQ SAO MATEUS 785  MONDUBIM FORTALEZA - CE CEP:60768010
174,604493-0,ASSOCIACAO BRASILEIRA DE EDUCACAO E ASSISTENCIA,R  CAIO PRADO 100  PARANGABA FORTALEZA - CE CEP:60720040
175,604493-0,ASSOCIACAO BRASILEIRA DE EDUCACAO E ASSISTENCIA,R  CAIO PRADO 100  PARANGABA FORTALEZA - CE CEP:60720040
284,8328-3,CONGREGACAO DAS IRMANZINHAS DA IMACULADA CONCEICAO,R MAJ WEYNE 1624  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430450
285,8328-3,CONGREGACAO DAS IRMANZINHAS DA IMACULADA CONCEICAO,R MAJ WEYNE 1624  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430450
392,116531-3,IGREJA ASSEMBLEIA DE DEUS NOVO VIVER,AV  C (CONJ. CEARA II) 535  CONJUNTO CEARÁ I FORTALEZA - CE CEP:60533613
393,116531-3,IGREJA ASSEMBLEIA DE DEUS NOVO VIVER,AV  C (CONJ. CEARA II) 535  CONJUNTO CEARÁ I FORTALEZA - CE CEP:60533613
394,116531-3,IGREJA ASSEMBLEIA DE DEUS NOVO VIVER,AV  C (CONJ. CEARA II) 535  CONJUNTO CEARÁ I FORTALEZA - CE CEP:60533613
431,709120-6,IGREJA BETESDA DO CEARÁ,R  S LOT EXPEDICIONARIOS II   Q016_L001 MONDUBIM FORTALEZA - CE CEP:60761795
432,709120-6,IGREJA BETESDA DO CEARÁ,R  S LOT EXPEDICIONARIOS II   Q016_L001 MONDUBIM FORTALEZA - CE CEP:60761795
437,940117-2,IGREJA BIBLICA HERDEIROS DE DEUS,R  A RES JACIARA MUTIRAO 90  BARRA DO CEARÁ FORTALEZA - CE CEP:60000000
438,940117-2,IGREJA BIBLICA HERDEIROS DE DEUS,R  A RES JACIARA MUTIRAO 90  BARRA DO CEARÁ FORTALEZA - CE CEP:60000000
552,8417-4,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R MAJ WEYNE 1603  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430450
553,8417-4,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R MAJ WEYNE 1603  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430450
639,308733-6,IGREJA FUNDAMENTALISTA CRISTO E VIDA,R  BELEM (NOEL ROSA) 32  DOM LUSTOSA FORTALEZA - CE CEP:60526185
640,308733-6,IGREJA FUNDAMENTALISTA CRISTO E VIDA,R  BELEM (NOEL ROSA) 32  DOM LUSTOSA FORTALEZA - CE CEP:60526185
776,60762-2,PRIMEIRA IGREJA BATISTA EM JOSE WALTER,AV  I (CONJ. PREF. JOSE WALTER) 690  PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60750080
777,60762-2,PRIMEIRA IGREJA BATISTA EM JOSE WALTER,AV  I (CONJ. PREF. JOSE WALTER) 690  PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60750080
792,228443-0,SEMINARIO E INSTITUTO BIBLICO MARANATA,R  DO GIRO 30  ANTIGA PRACA CEL ALBANO PARANGABA FORTALEZA - CE CEP:60720020
793,228443-0,SEMINARIO E INSTITUTO BIBLICO MARANATA,R  DO GIRO 30  ANTIGA PRACA CEL ALBANO PARANGABA FORTALEZA - CE CEP:60720020