razao_social/Contribuinte,Estabelecimentos,Inscricoes_SEFIN
IGREJA UNIVERSAL DO REINO DE DEUS,169,24
MITRA ARQUIDIOCESANA DE FORTALEZA,86,24
IGREJA DO EVANGELHO QUADRANGULAR,32,13
ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,20,19
COMUNIDADE CATOLICA SHALOM,11,3
ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,9,10
ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,7,6
DISTRITO DA IGREJA EVANGELICA WESLEYANA DO CEARA,7,3
ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,7,6
PROVINCIA SAO FRANCISCO DAS CHAGAS DO CEARA E PIAUI,6,5
MINISTERIO GUERREIROS DE ORACAO,6,2
IGREJA PENTECOSTAL DEUS E AMOR,5,2
GRUPO ESPIRITA PAULO E ESTEVAO,4,2
MINISTERIO CANAA DA ASSEMBLEIA DE DEUS NO BRASIL,4,6
UNIAO NORDESTE BRASILEIRA DA IGREJA ADVENTISTA DO S DIA,4,5
ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,3,4
ASSOCIACAO BIBLICA E CULTURAL DE MARACANAU,3,2
FEDERACAO ESPIRITA DO ESTADO DO CEARA FEEC,3,1
CONGREGACAO REDENTORISTA DO NORTE DO BRASIL,3,2
IGREJA BATISTA DA FE,3,2
IGREJA EM FORTALEZA,2,3
ASSOCIACAO BRASILEIRA DE EDUCACAO E ASSISTENCIA,2,2
ASSOCIACAO LAR ESPIRITA MEIMEI,2,1
IGREJA BATISTA AGAPE,2,2
CONGREGACAO PENIEL DE FORTALEZA,2,2
IGREJA EVANGELICA ASSEMBLEIA DE DEUS,2,128
IGREJA EVANGELICA ADONAI,2,1
ASSEMBLEIA DE DEUS RIOS DE AGUA VIVA,2,1
IGREJA DE DEUS NO BRASIL,2,1
GRUPO ESPIRITA RAIO DE SOL,2,1
BAPTIST MID-MISSIONS DO BRASIL,2,1
ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,2,8
PIA SOCIEDADE FILHAS DE SAO PAULO,2,1
ASSOCIACAO DA IGREJA METODISTA,2,1
IGREJA DE CRISTO NO PARQUE ARAXA,1,4
IGREJA CRISTA EVANGELICA FORTALECENSE,1,1
IGREJA EVANGELICA TABERNACULO DO AVIVAMENTO,1,2
IGREJA CRISTA EVANGELICA EBENEZER,1,1
IGREJA EVANGELICA TABERNACULO DE ADORADORES,1,1
IGREJA CRISTA EVANGELICA EMANUEL,1,1
IGREJA EVANGELICA TABERNACULO DA FE,1,1
IGREJA EVANGELICA RENOVADA DO BRASIL,1,1
IGREJA CRISTA GILEADE PARANGABA,1,2
IGREJA EVANGELICA BETEL PARA AS NACOES,1,1
IGREJA CRISTA REI DOS REIS ICRR,1,1
IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,1,8
IGREJA DE CRISTO NA MARAPONGA,1,1
IGREJA DE CRISTO NO CENTRO,1,1
IGREJA FUNDAMENTALISTA CRISTO E VIDA,1,1
SEMINARIO E INSTITUTO BIBLICO MARANATA,1,1
IGREJA PRESBITERIANA DE MARAPONGA,1,1
IGREJA MESSIANICA MUNDIAL DO BRASIL,1,1
IGREJA PRESBITERIANA DE FORTALEZA,1,2
PROVINCIA DE FORTALEZA DA CONGREGACAO DA MISSAO,1,1
PROVINCIA CAMILIANA BRASILEIRA,1,1
PRIMEIRA IGREJA BATISTA EM JOSE WALTER,1,1
PRIMEIRA IGREJA BATISTA EM JANGURUSSU,1,1
PRIMEIRA IGREJA BATISTA DE FORTALEZA,1,3
PAROQUIA DE SAO VICENTE DE PAULO,1,11
PAROQUIA DE SAO PEDRO E SAO PAULO,1,1
SOCIEDADE ESPIRITA CARIDADE E ESPERANCA,1,1
LEGIAO DE NOSSA SENHORA RAINHA DOS CORACOES,1,1
LECTORIUM ROSICRUCIANUM,1,1
INSTITUTO JOSEFINO,1,4
INSTITUTO DAS IRMAS MISSIONARIAS DE NOSSA SENHORA DAS DORES,1,2
INSTITUTO DAS FILHAS DE SANT'ANA-NORTE - INFISA-N,1,2
INSPETORIA MARIA AUXILIADORA,1,1
IGREJA BIBLICA HERDEIROS DE DEUS,1,1
IGREJA TENRIKYO CENTRAL DE FORTALEZA,1,2
SOCIEDADE MAE E RAINHA,1,1
IGREJA PRESBITERIANA RENOVADA DE FORTALEZA,1,3
IGREJA PRESBITERIANA NOVA JERUSALEM,1,1
IGREJA CONGREGACIONAL PENTECOSTAL,1,1
1 IGREJA PRESBITERIANA INDEPENDENTE DE FORTALEZA,1,3
IGREJA BIBLICA BATISTA DO PLANALTO,1,1
IGREJA BATISTA RIO JORDAO,1,1
CONSELHO PAROQUIAL NOSSA SENHORA DE FATIMA,1,1
CONGREGACAO DAS IRMAS DOS ANJOS,1,1
CONGREGACAO DAS IRMAS DE SANTA ELISABETE,1,1
CONGREGACAO CRISTA NO BRASIL,1,19
CONFERENCIA NACIONAL DOS BISPOS DO BRASIL,1,1
CONFERENCIA DOS RELIGIOSOS DO BRASIL,1,1
COMUNIDADE EVANGELICA VERDADEIROS ADORADORES,1,1
COMUNIDADE EVANGELICA TEMPLO DOS PRINCIPES,1,1
COMUNIDADE CRISTA PEDRA ANGULAR,1,1
COMUNIDADE CATOLICA VEU DE MARIA PARA JESUS,1,1
COMUNIDADE CATOLICA MISSIONARIA UM NOVO CAMINHO,1,1
CENTRO ESPIRITA LAR DOS HUMILDES,1,1
CENTRO ESPIRITA LAR DA DIVINA LUZ,1,1
CENTRO ESPIRITA CASA DO CAMINHO,1,1
CENTRO ESPIRITA ANTONIO ALVES DE LINHARES,1,1
CENTRO ESPIRITA A SAMARITANA,1,1
CENTRO DE EDUCACAO TECNICA E CULTURAL,1,1
CENTRO DE APOIO AO DESENVOLVIMENTO ESPIRITUAL,1,1
CASA DE NAZARE,1,3
ASSOCIACAO JESUS E MARIA,1,2
ASSOCIACAO FACE DE CRISTO,1,2
ASSOCIACAO CATOLICA DE EVANGELIZACAO MARIA PORTA DO CEU,1,1
ASSOCIACAO BIBLICA E CULTURAL NOVO MUNDO DE PAZ,1,1
ESCOLA SAO RAFAEL 1 E 2 GRAUS,1,1
FRATERNIDADE DA ORDEM FRANCISCANA SECULAR OFS,1,1
GRUPO DE RENOVACAO ESPIRITUAL ALLAN KARDEK,1,1
IGREJA BATISTA DO CALVARIO DE FORTALEZA,1,1
IGREJA BATISTA RESTAURACAO,1,1
IGREJA BATISTA REGULAR JORDAO,1,1
IGREJA BATISTA MEMORIAL DE FORTALEZA,1,1
IGREJA BATISTA MARANATA DE FORTALEZA,1,1
IGREJA BATISTA MANANCIAL,1,1
IGREJA BATISTA LUZ DO MUNDO,1,2
IGREJA BATISTA ESPERANCA,1,1
IGREJA BATISTA EMANUEL,1,1
ARQUIDIOCESE DE FORTALEZA,1,77
IGREJA BATISTA DO CORDEIRO,1,1
IGREJA BATISTA DE MUCURIPE,1,1
GRUPO ESPIRITA AVE LUZ,1,2
IGREJA BATISTA DE MONTESE,1,1
IGREJA BATISTA CENTRAL DE FORTALEZA,1,1
IGREJA BATISTA BEREIANA,1,1
IGREJA BATISTA ALVORADA,1,3
IGREJA AVIVAMENTO PENTECOSTAL DA BIBLIA,1,1
IGREJA ASSEMBLEIA DE DEUS NOVO VIVER,1,1
IGREJA ASSEMBLEIA DE DEUS MINISTERIO FILADELFIA,1,1
I IGREJA BATISTA EM SAO CRISTOVAO,1,1
GRUPO ESPIRITA HORIZONTES DA VIDA-GEHV,1,1
GRUPO ESPIRITA BEM-VINDO A CARIDADE,1,1
IGREJA BATISTA EL SHADAI,1,1